epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl
1,0.6711691226003124,0.6710404909153357,0.00012863351925974118,0.6621955537614022,0.6620795854175364,0.00011597040368382683
2,0.6612660667606604,0.6611065063419844,0.00015956459782027362,0.6608967649117681,0.660752416567038,0.00014435131121018035
3,0.6606086821199577,0.6604235719196252,0.00018511011419564995,0.6608780772631405,0.6606863500507734,0.0001917249994763024
4,0.6605340505213482,0.6604041274361623,0.0001299235929328293,0.661117052758923,0.660935637150102,0.00018141270999064428
5,0.6603709846203268,0.6602343015986777,0.00013668086544350232,0.6608892269716918,0.6607852641862767,0.00010395054675448501
6,0.6603998007061326,0.6602978067774842,0.00010199617828547515,0.6606569303811052,0.6605840257105936,7.290549869320306e-05
7,0.6602070677959018,0.6601234653184448,8.359823033766316e-05,0.6602257913305559,0.6601479422045118,7.783914631844022e-05
8,0.6602486487455862,0.660150884214659,9.776555242973555e-05,0.6611883339991096,0.6610536234069416,0.00013469587040634983
9,0.6600604290767758,0.6599842675580954,7.615999785062407e-05,0.6605023259424981,0.6604348084398808,6.753003459338469e-05
10,0.6602504115137086,0.6601588506767481,9.155973768511157e-05,0.6607707188329623,0.6607033728643228,6.733981023572797e-05
11,0.6600244805381373,0.6599507216892713,7.375694110626775e-05,0.6606043882042397,0.6604247798446481,0.00017961229827301222
12,0.6600122914136013,0.6599073307232626,0.00010496455020642742,0.6601093898292716,0.65999372951857,0.00011565902024660374
13,0.659933282899573,0.6598470086958211,8.626793948610051e-05,0.6600008761609784,0.6599212070457808,7.966951515306967e-05
14,0.6599317773379,0.6598420949334701,8.968342711912435e-05,0.6605296817444662,0.660445902638763,8.378525522052318e-05
15,0.6598430005999673,0.6597477337416695,9.526688161546629e-05,0.6601959580683526,0.6600835983079808,0.00011236529498723627
