step,name,grad_norm
1,embedding.weight,0.0008316819511628605
1,rnn.weight_ih_l0,0.010921267407408529
1,rnn.weight_hh_l0,0.12586589099564513
1,fc.weight,0.22262857628406071
2,embedding.weight,0.00022869247280058778
2,rnn.weight_ih_l0,0.001987465612678351
2,rnn.weight_hh_l0,0.07478901062954645
2,fc.weight,0.19406091104276846
3,embedding.weight,0.0002352783618955721
3,rnn.weight_ih_l0,0.0018489733094166857
3,rnn.weight_hh_l0,0.0656541388054363
3,fc.weight,0.18958727911603254
4,embedding.weight,0.00015845868944783473
4,rnn.weight_ih_l0,0.0011508023781373062
4,rnn.weight_hh_l0,0.05647982667643027
4,fc.weight,0.17468447335919396
5,embedding.weight,0.00012682375831629057
5,rnn.weight_ih_l0,0.0008252997251907455
5,rnn.weight_hh_l0,0.052634519876026714
5,fc.weight,0.17219986998644032
6,embedding.weight,0.00023680301408602613
6,rnn.weight_ih_l0,0.001563019237677063
6,rnn.weight_hh_l0,0.04935707640452463
6,fc.weight,0.16370005178891245
7,embedding.weight,0.0005425242465677818
7,rnn.weight_ih_l0,0.0037651253890226143
7,rnn.weight_hh_l0,0.04833580729108854
7,fc.weight,0.15761034752501815
