epoch,train_loss,val_loss,train_acc,val_acc
1,0.1655474910130877,0.059824631032016545,0.9343926191696565,0.9808612440191388
2,0.06927906829275984,0.060327074800928436,0.9774474628395694,0.9820574162679426
3,0.03971418820333011,0.07769848535018456,0.9876986160943106,0.9820574162679426
4,0.029359377481207465,0.07889686734415591,0.990773962070733,0.9832535885167464
