step,name,grad_norm
1,embedding.weight,0.0007542594174290477
1,rnn.weight_ih_l0,0.008721062406980265
1,rnn.weight_hh_l0,0.11362689150283571
1,fc.weight,0.17313834059922423
2,embedding.weight,0.00016882049124277
2,rnn.weight_ih_l0,0.001281748731749141
2,rnn.weight_hh_l0,0.06611306162276229
2,fc.weight,0.14258636546428086
3,embedding.weight,0.00013565786959071507
3,rnn.weight_ih_l0,0.0008904364295406155
3,rnn.weight_hh_l0,0.05615231501640844
3,fc.weight,0.13677312763499433
4,embedding.weight,8.790367893084048e-05
4,rnn.weight_ih_l0,0.0005038564548562867
4,rnn.weight_hh_l0,0.04934030070473425
4,fc.weight,0.13141479392032154
