step,name,grad_norm
1,embedding.weight,0.0005449867431947812
1,rnn.weight_ih_l0,0.004927255693296378
1,rnn.weight_hh_l0,0.10647610725346403
1,fc.weight,0.19828394620267095
2,embedding.weight,0.00013695344732289434
2,rnn.weight_ih_l0,0.0006543535475314528
2,rnn.weight_hh_l0,0.05188727683433499
2,fc.weight,0.17348701806097735
3,embedding.weight,0.00010242667194933015
3,rnn.weight_ih_l0,0.0003997502614563331
3,rnn.weight_hh_l0,0.04335509843696825
3,fc.weight,0.17124138241175746
4,embedding.weight,8.182911399317512e-05
4,rnn.weight_ih_l0,0.000282920528147248
4,rnn.weight_hh_l0,0.03698219799390826
4,fc.weight,0.16496367352541352
