step,name,grad_norm
1,embedding.weight,0.0006424858314344702
1,rnn.weight_ih_l0,0.006531409850525397
1,rnn.weight_hh_l0,0.10704370491878419
1,fc.weight,0.17182672738296087
2,embedding.weight,0.0001251699794529792
2,rnn.weight_ih_l0,0.0007272075576583196
2,rnn.weight_hh_l0,0.05911130239790092
2,fc.weight,0.14231465952318223
3,embedding.weight,9.961463663447411e-05
3,rnn.weight_ih_l0,0.00047766645220702456
3,rnn.weight_hh_l0,0.0491282094926497
3,fc.weight,0.13782897469450217
4,embedding.weight,8.471245576143427e-05
4,rnn.weight_ih_l0,0.00035824373214444376
4,rnn.weight_hh_l0,0.042169008648297826
4,fc.weight,0.1340560455669145
