step,name,grad_norm
1,embedding.weight,0.0007069247691831756
1,rnn.weight_ih_l0,0.007651428268670161
1,rnn.weight_hh_l0,0.11905184786644626
1,fc.weight,0.19005073313830328
2,embedding.weight,0.00017185116082429167
2,rnn.weight_ih_l0,0.00107587966152534
2,rnn.weight_hh_l0,0.06749424028408821
2,fc.weight,0.16233357738275997
3,embedding.weight,0.00014695591624694406
3,rnn.weight_ih_l0,0.0008757532556206021
3,rnn.weight_hh_l0,0.055708238870271896
3,fc.weight,0.1546945044251739
4,embedding.weight,0.00017332670704264762
4,rnn.weight_ih_l0,0.0011672025795435536
4,rnn.weight_hh_l0,0.04965216089345393
4,fc.weight,0.1493939663909498
5,embedding.weight,0.001007282018360346
5,rnn.weight_ih_l0,0.00635160126875457
5,rnn.weight_hh_l0,0.053767253385215506
5,fc.weight,0.14438481528128758
6,embedding.weight,0.029639861628281517
6,rnn.weight_ih_l0,0.1602304078968715
6,rnn.weight_hh_l0,0.13848571154121003
6,fc.weight,0.1826174783169246
7,embedding.weight,0.2639947251519799
7,rnn.weight_ih_l0,1.1341774321054336
7,rnn.weight_hh_l0,0.47176581211998814
7,fc.weight,0.1408583077250934
8,embedding.weight,0.014378039080540594
8,rnn.weight_ih_l0,0.06813889606874894
8,rnn.weight_hh_l0,0.04578722522548232
8,fc.weight,0.10318197844336267
9,embedding.weight,0.027218232471777362
9,rnn.weight_ih_l0,0.11301892394064944
9,rnn.weight_hh_l0,0.07053336780518293
9,fc.weight,0.08251251208550128
10,embedding.weight,0.0034185254386012854
10,rnn.weight_ih_l0,0.017602434852334658
10,rnn.weight_hh_l0,0.022381829231458365
10,fc.weight,0.06748571098766855
11,embedding.weight,0.003225270530716354
11,rnn.weight_ih_l0,0.01631218905575105
11,rnn.weight_hh_l0,0.022514992416454632
11,fc.weight,0.06388070467920577
12,embedding.weight,0.004507205506484513
12,rnn.weight_ih_l0,0.022648419613479284
12,rnn.weight_hh_l0,0.03585917885858016
12,fc.weight,0.0686840755162669
